timestamp,nickname,role,message,deleted
2025-06-06T20:14:08.284Z,Nancy Kasper,,Thank you Pastor Newmann! Your words spoken today means so much to me❣️,false
2025-06-06T20:16:11.186Z,Eloy,,"President Newman, thank you, man of God. Your teaching and preaching and leadership gifts have richly blessed me.",false
